,City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
144,Kloulklubed,90,PW,1548935400,88,7.04,134.26,77.0,8.05
145,Garissa,8,KE,1548938893,39,-0.46,39.64,96.98,7.76
146,Kununurra,20,AU,1548936000,88,-15.77,128.74,80.6,8.05
147,Cidreira,20,BR,1548938893,92,-30.17,-50.22,85.91,3.06
148,Tuy Hoa,0,VN,1548938894,89,13.08,109.3,72.23,12.8
149,Comodoro Rivadavia,0,AR,1548936000,44,-45.87,-67.48,57.2,20.8
150,Tuatapere,0,NZ,1548938894,64,-46.13,167.69,68.99,25.1
151,Kutum,20,SD,1548938894,38,14.2,24.66,77.72,6.31
152,Mayor Pablo Lagerenza,24,PY,1548938894,63,-19.93,-60.77,82.13,10.67
153,Paris,75,FR,1548936000,80,48.86,2.35,35.6,12.75
154,Kodinsk,44,RU,1548938894,59,58.6,99.18,-13.01,7.43
155,Nome,90,US,1548936900,66,30.04,-94.42,48.02,6.93
156,Mandalgovi,0,MN,1548938895,46,45.76,106.27,7.25,14.7
157,Kodiak,1,US,1548938100,49,39.95,-94.76,3.92,11.41
158,Butaritari,100,KI,1548938895,100,3.07,172.79,83.93,6.64
159,KALAS,88,PK,1548938895,100,33.49,72.96,47.66,2.84
160,Bardsir,0,IR,1548937800,6,29.93,56.57,64.4,4.7
161,Kenai,90,US,1548938340,100,60.55,-151.26,30.02,2.39
162,Kalawit,80,PH,1548938895,76,7.91,122.53,79.83,5.97
163,Taoudenni,0,ML,1548938896,27,22.68,-3.98,78.03,4.63
164,East London,90,ZA,1548936000,94,-33.02,27.91,68.0,11.41
165,Sao Joao da Barra,0,BR,1548936000,58,-21.64,-41.05,86.0,9.17
166,Poum,75,MK,1548937800,80,41.28,20.71,39.2,14.99
167,Cherskiy,48,RU,1548938896,40,68.75,161.3,-25.74,5.3
168,Guerrero Negro,36,MX,1548938897,100,27.97,-114.04,52.61,4.18
169,Bandarbeyla,0,SO,1548938897,100,9.49,50.81,77.54,18.05
170,Morwell,0,AU,1548938897,57,-38.24,146.4,57.11,3.62
171,Leningradskiy,32,RU,1548938897,79,69.38,178.42,-3.83,20.62
172,Norman Wells,75,CA,1548936000,70,65.28,-126.83,-4.01,13.87
173,Tiradentes,0,BR,1548938897,44,-18.95,-49.46,89.19,4.63
174,Trelew,0,AR,1548938897,37,-43.25,-65.31,61.38,6.42
175,Rio Grande,90,BR,1548936000,88,-32.03,-52.1,77.0,4.7
176,Esperance,20,TT,1548936000,78,10.24,-61.45,77.0,8.05
177,Yellowknife,90,CA,1548936000,76,62.45,-114.38,-7.61,3.36
178,Georgetown,75,GY,1548936000,78,6.8,-58.16,80.6,11.41
179,Ercis,40,TR,1548935400,64,39.03,43.36,35.6,4.7
180,Vostok,36,RU,1548938899,58,46.45,135.83,-2.79,6.76
181,Laguna,0,MX,1548938899,68,27.52,-110.01,52.43,5.19
182,Zhezkazgan,68,KZ,1548936000,85,47.8,67.71,10.4,13.42
183,Byron Bay,0,AU,1548936000,88,-28.65,153.62,77.0,9.17
184,Erenhot,0,CN,1548938899,23,43.65,111.97,11.88,18.28
185,Mana,90,RS,1548937800,93,43.52,20.24,37.4,1.12
186,Makakilo City,40,US,1548938400,82,21.35,-158.09,73.04,19.46
187,Cochrane,75,CL,1548936000,75,-47.25,-72.57,44.6,2.39
188,Verkhnyaya Inta,0,RU,1548938900,27,65.99,60.32,-18.81,5.75
189,Mangan,76,IN,1548938900,69,27.5,88.54,27.14,1.16
190,Broome,75,GB,1548937800,100,52.47,1.45,36.68,1.12
191,Juruti,24,BR,1548938900,84,-2.16,-56.09,80.73,2.95
192,Flin Flon,75,CA,1548936000,61,54.77,-101.88,-18.41,6.93
193,Bakchar,12,RU,1548938901,82,57.02,82.07,-18.77,5.86
194,Yulara,0,AU,1548936000,18,-25.24,130.99,93.2,12.75
195,Serra Talhada,0,BR,1548938901,58,-7.99,-38.29,79.74,8.66
196,Plettenberg Bay,12,ZA,1548938901,97,-34.05,23.37,70.07,8.99
197,Victoria,75,BN,1548936000,88,5.28,115.24,80.6,6.93
198,Chapais,40,CA,1548936480,75,49.78,-74.86,-18.41,10.29
199,Puerto Colombia,20,CO,1548936000,78,10.99,-74.96,77.0,5.82
200,Port Hedland,92,AU,1548936000,83,-20.31,118.58,84.2,14.99
201,Fare,92,PF,1548938902,95,-16.7,-151.02,83.93,20.4
202,Richards Bay,12,ZA,1548938902,54,-28.77,32.06,90.41,9.66
203,Eskisehir,75,TR,1548935400,53,39.78,30.52,50.0,9.17
204,Talalayivka,56,UA,1548938903,98,50.96,31.92,33.93,11.79
205,Jinxiang,48,CN,1548938903,77,35.07,116.31,28.98,5.75
206,Quesnel,90,CA,1548937020,95,52.98,-122.49,32.0,9.17
207,Nacala,75,MZ,1548936000,62,-14.56,40.69,87.8,10.29
208,Acajutla,0,SV,1548938756,82,13.59,-89.83,63.63,3.62
209,Cap Malheureux,75,MU,1548936000,66,-19.98,57.61,84.2,12.75
210,Gashua,0,NG,1548938903,22,12.87,11.04,86.9,10.0
211,San Cristobal,90,EC,1548936000,93,-0.39,-78.55,57.2,2.24
212,Bom Jesus,0,BR,1548938904,43,-9.08,-44.36,87.71,8.66
213,Lavrentiya,0,RU,1548938904,78,65.58,-170.99,11.39,19.28
214,Ouadda,0,CF,1548938905,30,8.07,22.4,95.54,11.68
215,Coquimbo,90,CL,1548936000,93,-29.95,-71.34,60.8,3.36
216,Bafang,24,CM,1548938905,100,5.16,10.18,72.5,3.18
217,Teya,5,MX,1548935100,93,21.05,-89.07,64.4,4.7
218,Qeshm,20,IR,1548937800,69,26.96,56.27,75.2,16.11
219,Amalfi,0,CO,1548938905,98,6.91,-75.07,65.93,1.39
220,Chipinge,0,ZW,1548938905,48,-20.19,32.62,87.39,5.08
221,Faanui,76,PF,1548938906,100,-16.48,-151.75,83.43,19.62
222,Male,64,UA,1548938906,97,50.74,33.7,33.39,11.79
223,Pisco,75,PE,1548936000,30,-13.71,-76.2,71.6,2.24
224,Iskateley,0,RU,1548938906,35,67.68,53.15,-23.22,12.68
225,Opuwo,12,NA,1548938906,22,-18.06,13.84,95.49,6.64
226,Abalak,0,NE,1548938906,19,15.46,6.28,85.55,13.8
227,Maceio,75,BR,1548936000,83,-9.67,-35.74,78.8,5.75
228,San Patricio,12,PY,1548938907,68,-26.98,-56.83,86.54,3.85
229,Abu Zabad,0,SD,1548938907,47,12.35,29.25,83.93,13.69
230,Tres Arroyos,0,AR,1548938907,93,-38.38,-60.28,64.31,7.09
231,Jurm,56,AF,1548938907,91,36.86,70.83,21.83,0.6
232,Niteroi,20,BR,1548936000,70,-29.95,-51.16,87.8,4.7
233,Rome,40,IT,1548937200,66,41.89,12.48,53.6,9.17
234,Sisimiut,0,GL,1548938907,100,66.94,-53.67,-14.18,3.18
235,Cockburn Town,0,TC,1548938908,100,21.46,-71.14,77.18,13.24
236,Airai,44,TL,1548938908,87,-8.93,125.41,72.09,0.72
237,La Grande,1,US,1548935760,74,45.32,-118.09,26.06,2.62
238,Atar,0,MR,1548936000,33,20.52,-13.05,71.6,11.41
239,Arraial do Cabo,0,BR,1548936000,74,-22.97,-42.02,84.2,11.41
240,Praia da Vitoria,75,PT,1548936000,77,38.73,-27.07,64.4,27.89
241,Oranjemund,20,ZA,1548938908,90,-28.55,16.43,63.63,17.72
242,Kaduqli,0,SD,1548938909,61,11.01,29.72,84.56,11.45
243,Licheng,20,CN,1548938909,81,24.5,110.4,52.97,6.08
244,Trat,32,TH,1548938909,100,12.25,102.51,79.25,5.3
245,Namatanai,80,PG,1548938909,100,-3.66,152.44,82.98,14.03
246,Nouadhibou,0,MR,1548936000,56,20.93,-17.03,68.0,19.46
247,Irricana,20,CA,1548936000,73,51.32,-113.6,26.6,5.82
248,Ilulissat,20,GL,1548935400,65,69.22,-51.1,3.2,8.05
249,Pyapon,0,MM,1548938910,65,16.29,95.68,81.54,4.07
250,Tonkino,92,RU,1548938910,93,57.37,46.46,26.64,6.31
251,Kudahuvadhoo,0,MV,1548938910,99,2.67,72.89,82.44,18.72
252,Chengzihe,0,CN,1548938910,38,45.35,131.0,6.93,10.11
253,Okha,80,RU,1548938910,87,53.59,142.95,13.37,19.06
254,Port Blair,8,IN,1548938910,100,11.67,92.75,82.53,13.91
255,Jutai,76,BR,1548938911,96,-1.71,-47.89,77.9,3.4
256,Santa Fe,80,AR,1548938792,99,-31.62,-60.7,74.75,7.99
257,Casablanca,75,MA,1548936000,67,33.6,-7.62,60.8,13.87
258,Seabrook,1,US,1548937380,31,38.97,-76.84,12.2,3.36
259,Sabang,0,PH,1548938912,92,13.72,123.58,74.34,8.99
260,Longyearbyen,75,NO,1548937200,74,78.22,15.63,30.2,13.87
261,Vestmannaeyjar,0,IS,1548936000,68,63.44,-20.27,26.6,8.05
262,Clyde River,1,CA,1548936000,82,70.47,-68.59,-20.21,2.24
263,Touros,75,BR,1548936000,66,-5.2,-35.46,86.0,11.41
264,Raleigh,1,US,1548936900,53,35.78,-78.64,23.9,5.82
265,Usak,75,TR,1548935400,61,38.67,29.41,48.2,14.99
266,Sangar,8,RU,1548938913,0,63.92,127.47,-41.09,1.83
267,Scarborough,24,GB,1548935400,80,54.28,-0.41,33.8,2.24
268,Ancud,75,CL,1548936000,87,-41.87,-73.83,50.0,3.36
269,Iqaluit,75,CA,1548936000,75,63.75,-68.52,-14.81,13.87
270,Lata,92,IN,1548938913,100,30.78,78.62,36.18,1.72
271,Coihaique,75,CL,1548936000,71,-45.58,-72.07,51.8,8.05
272,Tazovskiy,0,RU,1548938914,0,67.47,78.7,-50.63,3.18
273,Ajaccio,92,FR,1548937800,81,41.93,8.74,55.4,4.7
274,Ribeira Grande,75,PT,1548936000,77,38.52,-28.7,62.6,18.34
275,Tateyama,90,JP,1548937440,100,36.66,137.31,32.0,8.05
276,Hami,0,CN,1548938914,55,42.84,93.51,5.54,3.06
277,Orange,56,AU,1548938915,71,-33.28,149.1,76.1,3.4
278,Mananjary,92,MG,1548938915,83,-19.16,46.8,69.71,2.62
279,Ayorou,0,NE,1548938915,16,14.73,0.92,90.5,11.01
280,Jieshi,76,CN,1548938915,87,22.82,115.83,67.64,5.19
281,Muros,90,ES,1548937200,100,42.77,-9.06,53.6,11.41
282,Lamu,48,ID,1548938915,96,0.57,122.3,76.1,2.51
283,Xuanhua,0,CN,1548938915,15,40.61,115.04,14.72,8.55
284,Luderitz,0,NA,1548938916,76,-26.65,15.16,68.49,20.4
285,Goderich,32,CA,1548938916,100,43.74,-81.71,2.79,20.51
286,Dakar,0,SN,1548936000,73,14.69,-17.45,80.6,13.87
287,Inhambane,75,MZ,1548936000,70,-23.87,35.38,87.8,11.41
288,Castro,75,CL,1548936000,87,-42.48,-73.76,50.0,3.36
289,Cabedelo,75,BR,1548936000,74,-6.97,-34.84,82.4,9.17
290,Barranquilla,20,CO,1548936000,78,10.98,-74.8,77.0,5.82
291,Arzamas,76,RU,1548938917,92,55.4,43.84,24.93,9.78
292,Galle,90,US,1548936840,86,29.74,-97.91,48.2,5.82
293,Vila Velha,75,BR,1548936000,74,-3.71,-38.6,86.0,12.75
294,Summerville,1,US,1548938100,92,33.02,-80.17,30.2,3.96
295,Caraballeda,40,VE,1548936000,74,10.61,-66.85,80.6,1.12
296,Lebyazhye,24,RU,1548937800,86,59.96,29.42,26.6,4.47
297,Camocim,92,BR,1548938917,80,-2.9,-40.84,81.23,5.3
298,Sabha,0,LY,1548938918,33,27.03,14.43,74.39,8.99
299,Torbay,90,CA,1548936000,100,47.66,-52.73,33.8,12.75
300,Krasnotorka,24,UA,1548938918,95,48.68,37.52,34.56,11.79
301,Umm Lajj,0,SA,1548938918,65,25.02,37.27,75.65,12.46
302,Saint-Augustin,92,FR,1548936000,100,44.83,-0.61,53.6,19.46
303,Neuquen,0,AR,1548936000,37,-38.95,-68.06,66.2,4.7
304,Brigantine,1,US,1548935760,42,39.41,-74.36,10.94,8.05
305,Batagay,0,RU,1548938919,0,67.65,134.64,-63.59,2.95
306,Severo-Kurilsk,80,RU,1548938919,100,50.68,156.12,29.21,7.87
307,Canico,75,PT,1548936000,63,32.63,-16.85,64.4,6.93
308,Denpasar,20,ID,1548936000,83,-8.65,115.22,82.4,6.93
309,Manggar,8,ID,1548938919,99,-2.88,108.27,77.54,4.63
310,Timra,90,SE,1548937200,78,62.49,17.33,12.2,2.24
311,Yerbogachen,12,RU,1548938920,0,61.28,108.01,-35.01,5.53
312,Alyangula,40,AU,1548936000,89,-13.85,136.42,84.2,5.82
313,Ahuimanu,40,US,1548938400,82,21.44,-157.84,73.04,19.46
314,Westport,75,IE,1548937800,100,53.8,-9.52,32.0,25.28
